HH,DAY,TOWN,YEARS,SEX,AGE,STATUS,EDUC,DISABLED,HEAD,SEX_HH,AGE_HH,STATUS_HH,EDUC_HH,DISABLED_HH,AGE_HH_SPOUSE,EDUC_HH_SPOUSE,DISABLED_HH_SPOUSE,HH_SIZE,N_ADULTS,PRIMARY_WS,SUFFICIENT_WATER,TOTAL_TIME,PAY_WATER,TOTAL_COST,ELECTRIC,TOTAL_INCOME,TIME_LENGTH
10,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,11,0,8,0,51,1,2,0,1,0,51,1,2,0,40,2,0,5,5,3,0,140,1,320,1,3000,52
12,11,0,3,0,32,2,4,0,1,0,32,2,4,0,25,4,0,3,2,3,0,95,0,0,1,NA,65
13,11,0,8,1,30,1,4,0,0,0,60,3,1,1,9998,9998,9998,3,2,2,1,0,1,130,1,NA,72
14,11,0,2,0,32,2,4,0,1,0,32,2,4,0,28,4,0,3,2,2,1,0,1,320,1,NA,50
15,11,0,2,0,32,2,4,0,1,0,32,2,4,0,26,4,0,5,2,2,1,0,1,290,1,3000,58
1,12,0,8,0,9999,1,9999,0,1,0,9999,1,9999,0,NA,NA,NA,10,2,2,1,0,1,381,1,20000,34
2,12,0,3,0,29,2,4,0,1,0,29,2,4,0,24,4,0,6,2,4,1,3,1,304.1666667,1,NA,31
3,12,0,21,0,33,1,4,0,1,0,33,1,4,0,28,4,0,4,2,2,1,0,0,0,1,4500,44
4,12,0,18,0,57,3,0,1,1,0,57,3,0,1,9998,9998,9998,2,2,4,1,3,1,304.1666667,1,NA,41
5,12,0,12,0,43,2,9999,0,1,0,43,2,9999,0,26,1,0,6,2,4,1,3,0,0,1,NA,54
6,12,0,23,0,53,2,3,1,1,0,53,2,3,1,38,3,0,5,2,4,1,7,1,621.3333333,1,NA,39
7,12,0,0.583333333,1,30,2,3,0,0,0,34,2,3,0,30,3,0,4,2,4,1,3,0,0,1,NA,35
8,12,0,0.333333333,0,50,4,2,0,1,0,50,4,2,0,9998,9998,9998,6,2,4,1,6,1,486.6666667,1,NA,30
9,12,0,5,0,30,2,4,0,1,0,30,2,4,0,25,3,0,2,2,4,1,35,0,0,1,NA,35
10,12,0,4,0,23,1,4,0,1,0,23,1,4,0,23,4,0,2,2,2,1,0,0,0,1,2389.880952,39
11,12,0,17,0,50,1,3,0,1,0,50,1,3,0,30,2,0,6,3,2,1,0,1,60.83333333,1,17500,48
12,12,0,32,0,48,0,2,0,1,0,48,0,2,0,9998,9998,9998,3,2,2,1,0,0,0,0,NA,32
13,12,0,8,0,30,1,3,0,1,0,30,1,3,0,23,3,0,4,2,2,1,0,0,0,1,12383.92857,30
14,12,0,10,0,30,1,3,0,1,0,30,1,3,0,27,3,0,7,2,2,0,0,1,1000,1,6517.857143,43
15,12,0,12,0,65,1,1,0,1,0,65,1,1,0,56,1,0,3,1,2,0,0,0,0,0,2172.619048,34
1,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,12,0,20,1,29,1,0,0,0,0,39,1,1,0,29,0,0,7,4,6,1,3,0,0,0,NA,46
3,12,0,6,1,31,5,4,1,1,1,31,5,4,1,9998,9998,9998,3,1,6,1,3,1,0,1,3000,36
4,12,0,2,1,23,2,4,0,0,0,26,2,4,0,23,4,0,2,2,6,1,3,1,60.83333333,1,NA,45
5,12,0,17,0,37,1,9999,0,1,0,37,1,9999,0,28,1,0,6,3,2,1,0,1,1200,1,NA,53
